,school,type,Total Staff & Student,geo
0,Big Creek,ES,706,"34.113906, -84.177824"
1,Brandywine,ES,1357,"34.133500, -84.247383"
2,Brookwood,ES,1078,"34.101762, -84.184680"
3,Chattahoochee,ES,850,"34.239073, -84.086230"
4,Chestatee,ES,1381,"34.297109, -83.996014"
5,Coal Mountain,ES,821,"34.274362, -84.106103"
6,Cumming,ES,1055,"34.221450, -84.135623"
7,Daves Creek,ES,1285,"34.137061, -84.142564"
8,Haw Creek,ES,1131,"34.164335, -84.099258"
9,Johns Creek,ES,1103,"34.065648, -84.127560"
10,Kelly Mill,ES,1257,"34.208588, -84.166587"
11,Mashburn,ES,781,"34.168931, -84.105777"
12,Matt,ES,1125,"34.290784, -84.204504"
13,Midway,ES,961,"34.159086, -84.234437"
14,Poole's Mill,ES,807,"34.279811, -84.233814"
15,Sawnee,ES,1459,"34.242192, -84.176032"
16,Settles Bridge,ES,1099,"34.124172, -84.106235"
17,Sharon,ES,999,"34.104277, -84.135973"
18,Shiloh Point,ES,1452,"34.144505, -84.176538"
19,Silver City,ES,1152,"34.328631, -84.102699"
20,Vickery Creek,ES,1394,"34.176995, -84.224946"
21,Whitlow,ES,1464,"34.187329, -84.162151"
22,DeSana,MS,1162,"34.130072, -84.238379"
23,Lakeside,MS,1335,"34.165711, -84.097944"
24,Liberty,MS,1340,"34.288540, -84.205216"
25,Little Mill,MS,1032,"34.249992, -84.020986"
26,North Forsyth,MS,1359,"34.278569, -84.103623"
27,Otwell,MS,1649,"34.219535, -84.137306"
28,Piney Grove,MS,1111,"34.145090, -84.178782"
29,Riverwatch,MS,1663,"34.125074, -84.109676"
30,South Forsyth,MS,1497,"34.116796, -84.152999"
31,Vickery Creek,MS,1306,"34.179535, -84.223273"
32,Alliance Academy for Innovation,HS,1234,"34.219237, -84.115669"
33,Denmark,HS,2432,"34.147999, -84.229317"
34,Forsyth Central,HS,2754,"34.217102, -84.141643"
35,Lambert,HS,3150,"34.106989, -84.138845"
36,North Forsyth,HS,2785,"34.278110, -84.106390"
37,South Forsyth,HS,2437,"34.148412, -84.170303"
38,West Forsyth,HS,2637,"34.211249, -84.214213"